sampleName      genotype replicate
GSM3559494 	Control_diet_fed 11_1B 
GSM3559495 	High_fat_dietfed_Diet-indued_obese 13_6C 
GSM3559496 	Control_diet_fed 14_3A 
GSM3559497 	High_fat_dietfed_Diet-indued_obese 15_10B 
GSM3559498 	High_fat_dietfed_Diet-indued_obese_resistant 16_4D 
GSM3559499 	High_fat_dietfed_Diet-indued_obese_resistant 17_4C 
GSM3559500 	High_fat_dietfed_Diet-indued_obese 18_2C 
GSM3559501 	High_fat_dietfed_Diet-indued_obese 2_6B 
GSM3559502 	Control_diet_fed 20_19E 
GSM3559503 	Control_diet_fed 24_13D 
GSM3559504 	Control_diet_fed 26_17A 
GSM3559505 	Control_diet_fed 27_13B 
GSM3559506 	High_fat_dietfed_Diet-indued_obese 3_4E 
GSM3559507 	High_fat_dietfed_Diet-indued_obese 30_18C 
GSM3559508 	Control_diet_fed 32_15E 
GSM3559509 	High_fat_dietfed_Diet-indued_obese_resistant 33_14D 
GSM3559510 	High_fat_dietfed_Diet-indued_obese_resistant 37_18E 
GSM3559511 	Control_diet_fed 38_21C 
GSM3559512 	Control_diet_fed 4_3E 
GSM3559513 	Control_diet_fed 9_7E 
