"";"GSM3559494_11_1B.CEL.y";"GSM3559495_13_6C.CEL.y";"GSM3559496_14_3A.CEL.y";"GSM3559497_15_10B.CEL.y";"GSM3559498_16_4D.CEL.y";"GSM3559499_17_4C.CEL.y";"GSM3559500_18_2C.CEL.y";"GSM3559501_2_6B.CEL.y";"GSM3559502_20_19E.CEL.y";"GSM3559503_24_13D.CEL.y";"GSM3559504_26_17A.CEL.y";"GSM3559505_27_13B.CEL.y";"GSM3559506_3_4E.CEL.y";"GSM3559507_30_18C.CEL.y";"GSM3559508_32_15E.CEL.y";"GSM3559509_33_14D.CEL.y";"GSM3559510_37_18E.CEL.y";"GSM3559511_38_21C.CEL.y";"GSM3559512_4_3E.CEL.y";"GSM3559513_9_7E.CEL.y"
"TC0200002295.mm.2";8,41135563815078;7,88720482184962;8,70466697205622;9,13135807459874;9,75426853965328;9,17320118853762;8,50639869817688;7,17038171414293;10,9056408476516;9,65239264767834;10,7582479659912;10,679778651589;8,59824330712407;10,9619042023934;10,8963955569274;10,9060497195452;10,9327013002582;10,916155271997;9,26427035149509;9,61872849719063
"TC0200004663.mm.2";4,81446176800265;4,79048583862149;5,87737348710826;4,34762882783487;5,49379689781693;4,89814206257893;6,87924954553688;5,40659105020452;9,77846959246815;8,98888262732356;8,91002341115606;9,89743243205224;5,79957203251812;5,88365304092643;8,63741982627353;7,71852566996285;8,52806728219277;9,75202360744759;4,08620136969684;5,67490357243414
"TC0300000408.mm.2";5,51245990040322;6,06906562335983;5,18713759580917;5,41497084037378;7,73354468023794;5,94750532499489;3,83530176863192;5,83942273629935;7,84742125193641;8,51446317653152;9,35555954585161;6,47127870504814;6,31953584247029;8,19346080895068;7,48891564044196;7,79575882489885;9,45975140943088;8,84681161142569;6,35624188018197;5,1906069558037
"TC0500000842.mm.2";5,29369310832961;4,60058804094599;5,42193569126119;4,95565281312428;4,5476482970569;8,09868724386472;4,05590382952013;4,48621771455167;4,97745513861758;5,31465780591655;7,22368368248256;6,51487674555974;4,77097672076757;4,99209469575542;6,1291715062185;6,23480292815268;6,00321816881045;5,13323309081201;5,34020009987079;5,1491711903143
"TC0500001724.mm.2";4,3721646826007;3,97762720216707;3,4771210376971;4,85106012745214;5,44745551135287;4,18220758109925;3,82378571702013;4,43349937082625;5,55298150135665;5,96298953251691;7,06272703923633;6,50189796522674;3,86526289226705;5,48485104968289;5,78637804576798;6,26518883139589;6,54577195335161;6,32843363646436;4,87502371666459;4,73777907456992
"TC0500001808.mm.2";7,26885300546129;7,6869765302927;8,21944783538972;8,39583150229409;7,15686186797817;5,59649493311458;8,43896527708909;7,40276745390389;6,62922311253501;5,87183358407508;5,12792829195509;5,008490675657;7,97223498038171;5,84606392399669;5,78705680412375;6,6958219156831;6,57602483812395;6,35680626947208;7,96938709830977;6,69402661006464
"TC0600002574.mm.2";7,85907561549136;7,5556834452373;5,00265735093373;5,88221237948434;8,11012379134408;8,46559586404964;4,60149229657577;5,77222734620542;9,23635039775774;10,0028176514182;10,9639949018639;8,33676936061107;7,59195576477542;9,47725005413783;8,49848356306402;7,96980642257629;10,0539932543485;9,71819482277078;6,13190227877589;4,78242353234991
"TC0600003067.mm.2";3,63628722903938;3,89121599640688;4,06458483590899;3,33980842262753;4,23640927604575;4,18912755542121;3,9967129079992;3,849320320913;6,84501235918995;4,69053927365935;4,56416472743777;6,50016919587311;3,91776470123337;3,77850264661543;5,63774476822475;4,67831638172865;4,63064436347272;6,6710667822086;4,55163217209612;3,84878712809218
"TC0700000507.mm.2";7,11837293859771;5,51362270777332;6,01301728545779;6,21565489870624;6,99627097641004;5,69619567093697;5,48162142937356;7,18667191332605;8,37569556270433;8,02329112485442;7,90437446832986;7,69350446130726;6,26133941245304;7,97057819106061;8,57031512402686;8,15465509888261;8,40602506481967;7,96210213498924;6,12200721312113;6,77424598595493
"TC1000001072.mm.2";8,66065478652568;8,04061361166648;7,58747623673764;7,69934119994109;8,29081320850578;8,94997393533776;8,92133835995194;8,23049112684951;6,64620263243852;6,72101662671488;5,64458142927981;6,29993424110661;8,3656654952031;7,03033062862288;5,55983549642401;6,68431504079936;6,08349099481459;6,06568251741042;8,31438447838963;8,48809972233415
"TC1100000009.mm.2";8,86090877073293;9,68060026739456;9,16322995143857;8,72768541460243;8,15793807609599;9,12447878884212;10,3964164140023;9,29074784840172;6,81104943476833;7,80996524822397;6,57683097813504;6,81702445050624;9,24600176433294;7,13299371586234;7,07708974380844;7,52211763131747;7,61915082298288;7,68246170718392;9,85972277022063;6,29222326853586
