"";"GSM3559513_9_7E.CEL.x";"GSM3559494_11_1B.CEL.y";"GSM3559495_13_6C.CEL.y";"GSM3559496_14_3A.CEL.y";"GSM3559497_15_10B.CEL.y";"GSM3559498_16_4D.CEL.y";"GSM3559499_17_4C.CEL.y";"GSM3559500_18_2C.CEL.y";"GSM3559501_2_6B.CEL.y";"GSM3559502_20_19E.CEL.y";"GSM3559503_24_13D.CEL.y";"GSM3559504_26_17A.CEL.y";"GSM3559505_27_13B.CEL.y";"GSM3559506_3_4E.CEL.y";"GSM3559507_30_18C.CEL.y";"GSM3559508_32_15E.CEL.y";"GSM3559509_33_14D.CEL.y";"GSM3559510_37_18E.CEL.y";"GSM3559511_38_21C.CEL.y";"GSM3559512_4_3E.CEL.y";"GSM3559513_9_7E.CEL.y"
"TC0100001510.mm.2";6,74379485211973;7,92529031844926;6,58185212048865;6,58502366195861;6,81151440731526;7,35782957292906;7,928338316401;6,35772829824011;8,018519947498;8,5658911209134;8,64093689729149;9,85177211434842;8,71600858411228;7,87455681090442;9,14730260398137;8,28366704427023;9,16107038969343;10,1861787301682;9,66145369943675;7,10542058934475;6,74379485211973
"TC0100001577.mm.2";7,8911227268665;6,60713912053193;6,16258587223717;6,24934846530826;5,5766937648219;6,71012332861793;6,8474270794806;5,4653800819279;7,03652557354892;7,59892395475429;7,72719304297068;8,40098567565261;7,95150043757805;6,57501537362206;7,82370356810141;7,67310679699116;8,2722701965631;8,35801465229321;8,1905553580257;4,9080365620367;7,8911227268665
"TC0100002562.mm.2";5,77786511635456;7,44961482999768;6,22868043899994;6,15441599971328;6,64032811456161;7,00642152485074;7,29855423997922;4,84335315375111;7,67148267705091;8,586784629649;9,40163673220571;9,72277841892247;7,63213654248216;8,01038119433991;8,69600045025137;8,04407129998307;8,77896350461931;9,65472929853217;9,47417247936337;7,51482008937803;5,77786511635456
"TC0200002295.mm.2";9,61872849719063;8,41135563815078;7,88720482184962;8,70466697205622;9,13135807459874;9,75426853965328;9,17320118853762;8,50639869817688;7,17038171414293;10,9056408476516;9,65239264767834;10,7582479659912;10,679778651589;8,59824330712407;10,9619042023934;10,8963955569274;10,9060497195452;10,9327013002582;10,916155271997;9,26427035149509;9,61872849719063
"TC0200004663.mm.2";5,67490357243414;4,81446176800265;4,79048583862149;5,87737348710826;4,34762882783487;5,49379689781693;4,89814206257893;6,87924954553688;5,40659105020452;9,77846959246815;8,98888262732356;8,91002341115606;9,89743243205224;5,79957203251812;5,88365304092643;8,63741982627353;7,71852566996285;8,52806728219277;9,75202360744759;4,08620136969684;5,67490357243414
"TC0300000408.mm.2";5,1906069558037;5,51245990040322;6,06906562335983;5,18713759580917;5,41497084037378;7,73354468023794;5,94750532499489;3,83530176863192;5,83942273629935;7,84742125193641;8,51446317653152;9,35555954585161;6,47127870504814;6,31953584247029;8,19346080895068;7,48891564044196;7,79575882489885;9,45975140943088;8,84681161142569;6,35624188018197;5,1906069558037
"TC0300000934.mm.2";10,7272480970139;10,8403012105706;10,2627311156267;9,93759461082917;10,1169723249017;10,733293692602;10,9233699120863;10,4849151288536;9,7585882275876;12,6938441385973;11,8623514202804;12,4253202297908;12,7282800405546;10,6313042383697;12,7720256709393;12,5590440180447;12,6409504940384;12,3938990175492;11,9627816544357;10,8347725090947;10,7272480970139
"TC0400000114.mm.2";5,51985522739774;5,76532034378952;4,30321763091754;6,41122822739726;4,37281292562274;5,76686430700323;5,35547474796848;6,25704413090998;5,20838024885677;6,86085176205042;6,69175926311765;5,18649473053534;5,06963408137188;5,51422042903497;5,77340636590283;6,44207800452561;7,38334100605999;6,66825852060591;6,63897286117793;6,56625330326395;5,51985522739774
"TC0400003433.mm.2";6,52360324781808;9,29783729204903;11,2346653912686;7,51239558025967;9,34544270760545;8,67661562889147;11,0454635352316;7,0570720391682;7,39811469611193;10,5987621961746;10,7337704421243;11,1972587700959;9,97107412660065;10,6667834040438;10,4391201995408;9,82857719316992;10,8858013667684;11,1950509785706;9,41897546768626;10,8539747004969;6,52360324781808
"TC0500000229.mm.2";6,73811785388406;5,92959993436189;6,85150348334228;6,30074213579639;6,51993268544376;7,38492371624192;7,22160081696664;5,52197158937172;7,08660722299689;7,57694226273261;6,40827323831619;6,39306222875117;7,22094847290257;6,19713001538321;6,42100582457532;7,48712972396468;7,454246015406;7,82003308839844;7,3578869266106;5,91241509413921;6,73811785388406
